"Name","Disc. Date","mmax","R.A.","Dec."
"SN2011ka","2011/12/29","14.5","05:14:28.26","-62:10:19.0,-62:10:18.98"
"SN2012du","2012/06/30","14.5","21:49:16.32","-60:42:42.6,-60:42:42.59"
"SN2012fg","2012/10/07","14.5","09:24:37.95,09:24:38.05","+49:21:32.0,+49:21:34.0,+49:21:32.00"
"SN2012fz","2012/06/27","14.5","20:03:24.84","-55:57:19.2,-55:57:19.19"
"SN2012hs","2012/12/15","14.5","09:49:14.71","-47:54:45.6,-47:54:45.61"
"SN2013dl","2013/06/17","14.5","01:18:41.76,01:18:41.904","-07:26:39.7,-07:26:39.70,-07:26:41.928"
"SN2013dr","2013/06/30","14.5","17:19:30.26,17:19:30","+47:42:04.6,+47:42:04.61,+47:42:03.24"
"SN2004ao","2004/03/07","14.51","17:28:09.35","+07:24:55.5,+07:24:55.51"
"SN2010al","2010/03/13","14.51","08:14:15.91","+18:26:18.2,+18:26:18.20"
"SN2006dd","2006/06/19","14.51","03:22:41.64,03:22:41.62","-37:12:13.2,-37:12:13.0,-37:12:13.00"
"SN2009dc","2009/04/09","14.53","15:51:12.12,15:51:12.083,15:51:12,15:51:12.24,15:51:12.10","+25:42:28.0,+25:42:28.43,+25:42:28.44,+25:42:28.08,+25:42:28.01,+25:42:28"
"SN2011ia","2011/11/18","14.53","09:45:03.45,09:45:03.55,09:45:03.54","+64:15:35.5,+64:15:36.61,+64:15:36.5"
"SN2007ax","2007/03/21","14.54","08:22:43.26,08:22:43.20,08:22:43.23","+22:33:16.9,+22:33:16.92,+22:33:16.88"
"SN2004A","2004/01/09","14.55","16:43:01.90","+36:50:12.5,+36:50:12.52"
"SN2013gy","2013/12/06","14.55","03:42:16.88,03:42:16.872","-04:43:18.5,-04:43:18.52,-04:43:18.6,-04:43:18.552"
"PTF12gzk","2012/07/24","14.57","22:12:41.53,22:12:41.52","+00:30:43.1,+00:30:43.24"
"SN2013hj","2013/12/12","14.59","09:12:06.29","-15:25:46.0,-15:25:45.98,-15:25:45.8"
"SN2008cc","2008/04/24","14.6","21:03:29.62","-67:11:01.1,-67:11:01.10"
"SN2008ee","2008/07/16","14.6","00:56:32.96","-01:46:16.0,-01:46:16.00"
"SN2009iw","2009/09/15","14.6","05:55:25.63,05:55:25.64","-76:55:15.9,-76:55:15.89"
"SN2011bc","2011/04/01","14.6","12:04:32.94,12:04:32.93","+20:12:11.4,+20:12:11.41,+20:12:11.3"
"SN2012ab","2012/01/31","14.6","12:22:47.60,12:22:47.6","+05:36:25.0,+05:36:24.98"
"SN2012ah","2012/02/21","14.6","23:25:59.63","-81:54:33.3,-81:54:33.30"
"SN2012cu","2012/06/14","14.6","12:53:29.35,12:53:29.28","+02:09:39.0,+02:09:38.99,+02:09:36.432"
"SN2012gm","2012/11/19","14.6","23:17:37.03","+14:00:08.9,+14:00:08.89"
"SN2013ey","2013/08/11","14.6","20:58:03.73","+11:03:10.8,+11:03:10.80"
"SN2009kq","2009/11/05","14.61","08:36:15.09,08:36:15.148,08:36:15.12","+28:04:01.7,+28:04:01.67,+28:04:01.56,+28:04:01.70"
"SN2010Y","2010/02/08","14.62","10:51:03.9,10:51:03.994,10:51:04.08,10:51:03.95","+65:46:47,+65:46:46.40,+65:46:46.92,+65:46:46.99,+65:46:47.0"
"SN2005ay","2005/03/27","14.63","11:52:48.07,11:52:48","+44:06:18.4,+44:06:18.36,+44:06:18.40"
"SN2011ek","2011/08/04","14.66","02:25:48.89,02:25:48.888,02:25:48.88","+18:32:00.0,+18:31:59.16,+18:31:59.99"
"SN2009bb","2009/03/21","14.7","10:31:33.92,10:31:33.87","-39:57:28.2,-39:57:30.0,-39:57:29.99"
"SN2010F","2010/01/13","14.7","10:05:21.05","-34:13:21.0,-34:13:21.00"
"SN2009hm","2009/07/17","14.7","21:35:44.32,21:35:44.44","-63:54:23.2,-63:54:23.62,-63:54:23.6"
"SN2009ib","2009/08/06","14.7","04:17:40.09,04:17:39.92","-62:46:40.3,-62:46:38.7,-62:46:38.71"
"SN2009mz","2009/12/26","14.7","14:03:24.64","-06:03:31.3,-06:03:31.28"
"SN2010hq","2010/09/08","14.7","07:08:03.35","+15:11:10.0,+15:11:10.00"
"SN2011di","2011/05/13","14.7","18:43:59.06,18:43:59.00","-61:59:46.3,-61:59:46.28,-61:59:46.0"
"SN2012db","2012/06/24","14.7","17:48:48.70,17:48:48.63","-60:42:19.3,-60:42:19.01"
"SN2012ho","2012/12/06","14.7","22:40:17.02","-02:25:34.1,-02:25:34.10"
"SN2013bz","2013/04/21","14.7","13:26:51.32,13:26:51.36","-10:01:32.2,-10:01:32.20,-10:01:32.16"
"SN2013gq","2013/03/25","14.7","08:17:53.51,08:17:53.46","+23:28:11.1,+23:28:10.49,+23:28:10.5"
"SN2008J","2008/01/15","14.75","02:34:24.20","-10:50:38.5,-10:50:38.51"
"SN2008aw","2008/03/02","14.77","13:04:14.11,13:04:14.12,13:04:14.16","-10:19:12.9,-10:19:12.3,-10:19:12.29,-10:19:12.72"
"SN2013hs","2013/12/25","14.78","01:58:53.71,01:58:53.69,01:58:53.64,01:58:53.688","+05:35:25.2,+05:35:25.40,+05:35:25.4,+05:35:24.324,+05:35:25.44"
"SNhunt141","2012/07/24","14.79","13:37:57.21,13:37:57.36,13:37:57.12","-17:54:27.2,-17:54:28.08,-17:54:27.36"
"SN2006ax","2006/03/20","14.8","11:24:03.46,11:24:03.36,11:24:3.36","-12:17:29.2,-12:17:29.76,-12:17:29.04,-12:17:29.18"
"SN2006N","2006/01/21","14.8","06:08:31.24,06:08:31.248","+64:43:25.1,+64:43:24.96,+64:43:25.10"
"SN2012T","2012/01/26","14.8","14:01:41.69,13:10:19.68","+33:49:33.9,+33:49:33.89,+32:28:25.7,+32:28:25.72,+32:28:25.68"
"SN2004fv","2004/11/04","14.8","18:02:46.39,18:02:46.38","-66:25:53.4,-66:25:54.7,-66:25:54.70"
"SN2005ip","2005/11/05","14.8","09:32:06.42,09:32:06.48","+08:26:44.4,+08:26:44.52,+08:26:44.41"
"SN2006ov","2006/11/24","14.8","12:21:55.30","+04:29:16.7,+04:29:16.69"
"SN2007gj","2007/08/04","14.8","02:19:33.85","-37:48:44.2,-37:48:44.21"
"SN2011bg","2011/03/26","14.8","11:56:14.31,11:56:14.4,11:56:14.36,11:56:14.40","+25:21:11.9,+25:21:11.92,+25:21:11.8,+25:21:15.48,+25:21:14.5,+25:21:14.4,+25:21:14.8"
"SN2011do","2011/06/11","14.8","04:25:47.56","-67:48:40.7,-67:48:40.72"
"SN2011E","2011/01/07","14.8","00:26:19.23","-04:29:42.4,-04:29:42.40"
"SN2011fd","2011/08/20","14.8","06:46:39.85,06:46:39.84","+60:21:02.8,+60:21:02.81,+60:21:02.7"
"SN2011jm","2011/12/24","14.8","12:54:51.10,12:54:51.09,12:54:51.12","+02:39:14.9,+02:39:14.90,+02:39:14.8,+02:39:14.904"
"SN2012er","2012/08/21","14.8","17:31:52.66,17:31:52.62","+71:50:12.0,+71:50:10.2,+71:50:12.01"
"SN2012gw","2012/10/06","14.8","10:10:09.15","-38:08:05.1,-38:08:15.11,-38:08:15.1"
"SN2013S","2013/01/25","14.8","03:35:30.29","+38:16:59.3,+38:16:59.70,+38:16:59.7"
"SN2011eh","2011/07/20","14.81","11:18:31.56,11:18:31.54,11:18:31.70","+57:58:36.9,+57:58:36.80,+57:58:37.2"
"SSS120515:074613-580641","2012/05/15","14.81","07:46:12.99,07:46:12.96","-58:06:41.4"
"SN2010jv","2010/11/14","14.82","07:27:26.48,07:27:26.64","+33:48:41.8,+33:48:41.04,+33:48:41.80"
"SN2008fv","2008/09/27","14.84","10:16:57.28,10:16:57.36","+73:24:36.4,+73:24:35.64,+73:24:36.40"
"CSS080929:214512-122040","2008/09/29","14.85","21:45:11.80,21:45:11.76","-12:20:40.2"
"SN2005dp","2005/08/27","14.86","14:27:36.62,14:27:36.72","+41:15:15.0,+41:15:15.12,+41:15:15.01"
"SN2008C","2008/01/03","14.89","06:57:11.53,06:57:11.469,06:57:11.52","+20:26:13.7,+20:26:13.58,+20:26:13.92,+20:26:13.56,+20:26:13.70"
"SN2012dk","2012/06/26","14.89","00:13:56.30","-70:01:40.7,-70:01:40.69"
"SN2009kr","2009/11/06","14.9","05:12:03.30","-15:41:52.2,-15:41:52.19"
"SN2004bg","2004/04/07","14.9","11:21:01.53","+21:20:23.4,+21:20:23.39"
"SN2009K","2009/01/14","14.9","04:36:36.77","-00:08:35.6,-00:08:35.59"
"SN2007av","2007/03/20","14.9","10:34:43.18,10:34:43.2,10:34:43.17","+11:11:39.1,+11:11:37.68,+11:11:38.3,+11:11:38.29"
