"Name","Disc. Date","R.A.","Dec."
"ESSENCE q002","2006/09/16","02:05:12.945","-03:39:00.723"
"SN2007tc","2007/10/04","01:14:46.89,01:14:46.90,01:14:46.898,01:14:46.894","+00:17:06.6,+00:17:06.61,+00:17:06.62,+00:17:06.778"
"SN2003ll","2003/12/15","02:35:41.19,02:35:41.198,02:35:41.190","-08:06:29.6,-08:06:29.55,-08:06:29.59,-08:06:29.69,-08:06:29.788"
"SN2004hr","2004/12/11","01:08:48.33,01:08:48.34,01:08:48.336","+00:00:49.5,+00:00:49.49,+00:00:49.50,+00:00:49.449"
"ESSENCE n246","2005/11/22","01:14:33.08,01:14:33.074","-00:26:23.2,-00:26:23.18,-00:26:23.184"
"ESSENCE q006","2006/09/16","02:10:52.276","-03:57:39.374"
"ESSENCE r317","2006/11/14","01:13:24.658","+00:51:27.757"
"ESSENCE s372","2006/12/13","02:08:24.257","-03:27:32.636"
"SN2006tv","2006/12/19","02:35:34.225,02:35:34.22","-08:34:22.03,-08:34:22.0,-08:34:22.01,-08:34:22.069"
"SN2002jc","2002/11/09","02:07:27.28,02:07:27.285","-03:50:20.7,-03:50:20.73,-03:50:20.69,-03:50:20.744"
"SN2004fl","2004/10/11","23:26:57.92,23:26:57.910","-09:37:19.1,-09:37:19.11,-09:37:19.09,-09:37:18.984"
"SN2004fn","2004/10/11","23:30:20.12,23:30:20.114","-09:58:30.7,-09:58:30.67,-09:58:30.68,-09:58:30.698"
"ESSENCE n285","2005/11/08","23:23:51.35,23:23:51.357","-08:23:18.5,-08:23:18.47,-08:23:18.503"
"ESSENCE p429","2005/11/24","23:26:02.216","-08:35:47.978"
"ESSENCE p445","2005/11/24","01:13:14.547","+00:48:47.659"
"ESSENCE p520","2005/12/04","02:08:09.34,02:08:09.339","-03:48:05.0,-03:48:05.05,-03:48:04.967"
"ESSENCE x093","2007/10/08","02:29:43.134","-09:06:54.931"
"SN2006mi","2006/10/19","02:05:55.040,02:05:55.04","-04:00:53.24,-04:00:53.2,-04:00:53.21,-04:00:53.216"
